machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;l1hits;l2hits;l3hits;dramhits
pissarro;2048;64;1;4;max;task;none;10;;cores;line;20;1695975;-1;-1;-1;-1
pissarro;2048;128;1;4;max;task;none;10;;cores;line;20;849536;-1;-1;-1;-1
pissarro;2048;256;1;4;max;task;none;10;;cores;line;20;445119;-1;-1;-1;-1
pissarro;2048;512;1;4;max;task;none;10;;cores;line;20;heat-242684;-1;-1;-1;-1
pissarro;2048;32;1;6;max;task;none;10;;cores;line;20;3528117;-1;-1;-1;-1
pissarro;2048;64;1;6;max;task;none;10;;cores;line;20;1807248;-1;-1;-1;-1
pissarro;2048;128;1;6;max;task;none;10;;cores;line;20;933494;-1;-1;-1;-1
pissarro;2048;256;1;6;max;task;none;10;;cores;line;20;522285;-1;-1;-1;-1
pissarro;2048;512;1;6;max;task;none;10;;cores;line;20;290677;-1;-1;-1;-1
pissarro;2048;32;1;8;max;task;none;10;;cores;line;20;3683046;-1;-1;-1;-1
pissarro;2048;64;1;8;max;task;none;10;;cores;line;20;1943996;-1;-1;-1;-1
pissarro;2048;128;1;8;max;task;none;10;;cores;line;20;1030792;-1;-1;-1;-1
pissarro;2048;256;1;8;max;task;none;10;;cores;line;20;619021;-1;-1;-1;-1
pissarro;2048;512;1;8;max;task;none;10;;cores;line;20;354197;-1;-1;-1;-1
pissarro;2048;32;1;10;max;task;none;10;;cores;line;20;3966402;-1;-1;-1;-1
pissarro;2048;64;1;10;max;task;none;10;;cores;line;20;2022391;-1;-1;-1;-1
pissarro;2048;128;1;10;max;task;none;10;;cores;line;20heat-;517922;-1;-1;-1;-1
pissarro;2048;32;1;1;max;task;none;10;;cores;line;20;2151721;-1;-1;-1;-1
pissarro;2048;64;1;1;max;task;none;10;;cores;line;20;1189945;-1;-1;-1;-1
pissarro;2048;128;1;1;max;task;none;10;;cores;line;20;609310;-1;-1;-1;-1
pissarro;2048;256;1;1;max;task;none;10;;cores;line;20;343941;-1;-1;-1;-1
pissarro;2048;512;1;1;max;task;none;10;;cores;line;20;237479;-1;-1;-1;-1
pissarro;2048;32;1;2;max;task;none;10;;cores;line;20;2786055;-1;-1;-1;-1
pissarro;2048;64;1;2;max;task;none;10;;cores;line;20;1320395;-1;-1;-1;-1
pissarro;2048;128;1;2;max;task;none;10;;cores;line;20;718097;-1;-1;-1;-1
pissarro;2048;256;1;2;max;task;none;10;;cores;line;20;407684;-1;-1;-1;-1
pissarro;2048;512;1;2;max;task;none;10;;cores;line;20;246589;-1;-1;-1;-1
